id;AnoMes;vl_inflacao;;;;;
228;202012;3.20;;;;;
229;20211;3.10;;;;;
230;20212;3.20;;;;;
231;20213;2.90;;;;;
232;20214;3.20;;;;;
233;20215;4.40;;;;;
234;20216;5.20;;;;;
235;20217;4.90;;;;;
236;20218;4.60;;;;;
237;20219;4.90;;;;;
238;202110;5.00;;;;;
239;202111;5.00;;;;;
240;202112;5.50;;;;;
241;20221;5.90;;;;;
242;20222;5.70;;;;;
243;20223;5.70;;;;;
244;20224;5.90;;;;;
245;20225;5.90;;;;;
246;20226;6.50;;;;;
247;20227;7.40;;;;;
248;20228;7.80;;;;;
249;20229;7.60;;;;;
250;202210;7.50;;;;;
251;202211;7.60;;;;;
252;202212;7.40;;;;;
253;20231;7.20;;;;;
254;20232;6.90;;;;;
255;20233;7.00;;;;;
256;20234;7.10;;;;;
257;20235;6.80;;;;;
258;20236;6.30;;;;;
259;20237;5.40;;;;;
260;20238;4.70;;;;;
261;20239;4.80;;;;;
262;202310;5.40;;;;;
263;202311;5.90;;;;;
264;202312;5.50;;;;;
265;20241;5.10;;;;;
266;20242;5.30;;;;;
267;20243;5.60;;;;;
268;20244;5.30;;;;;
269;20245;5.20;;;;;
270;20246;5.20;;;;;
271;20247;5.10;;;;;
272;20248;4.60;;;;;
