Id;AnoMes;vl_inflacao;;;;;;;
199;20187;4.48;;;;;;;
200;20188;4.19;;;;;;;
201;20189;4.53;;;;;;;
202;201810;4.56;;;;;;;
203;201811;4.05;;;;;;;
204;201812;3.75;;;;;;;
205;20191;3.78;;;;;;;
206;20192;3.89;;;;;;;
207;20193;4.58;;;;;;;
208;20194;4.94;;;;;;;
209;20195;4.66;;;;;;;
210;20196;3.37;;;;;;;
211;20197;3.22;;;;;;;
212;20198;3.43;;;;;;;
213;20199;2.89;;;;;;;
214;201910;2.54;;;;;;;
215;201911;3.27;;;;;;;
216;201912;4.31;;;;;;;
217;20201;4.19;;;;;;;
218;20202;4.01;;;;;;;
219;20203;3.30;;;;;;;
220;20204;2.40;;;;;;;
221;20205;1.88;;;;;;;
222;20206;2.31;;;;;;;
223;20207;2.13;;;;;;;
224;20208;2.44;;;;;;;
225;20209;3.14;;;;;;;
226;202010;3.92;;;;;;;
227;202011;4.31;;;;;;;
228;202012;4.52;;;;;;;
229;20211;4.56;;;;;;;
230;20212;5.20;;;;;;;
231;20213;6.10;;;;;;;
232;20214;6.76;;;;;;;
233;20215;8.06;;;;;;;
234;20216;8.35;;;;;;;
235;20217;8.99;;;;;;;
236;20218;9.68;;;;;;;
237;20219;10.25;;;;;;;
238;202110;10.67;;;;;;;
239;202111;10.74;;;;;;;
240;202112;10.06;;;;;;;
241;20221;10.38;;;;;;;
242;20222;10.54;;;;;;;
243;20223;11.30;;;;;;;
244;20224;12.13;;;;;;;
245;20225;11.73;;;;;;;
246;20226;11.89;;;;;;;
247;20227;10.07;;;;;;;
248;20228;8.73;;;;;;;
249;20229;7.17;;;;;;;
250;202210;6.47;;;;;;;
251;202211;5.90;;;;;;;
252;202212;5.79;;;;;;;
253;20231;5.77;;;;;;;
254;20232;5.60;;;;;;;
255;20233;4.65;;;;;;;
256;20234;4.18;;;;;;;
257;20235;3.94;;;;;;;
258;20236;3.16;;;;;;;
259;20237;3.99;;;;;;;
260;20238;4.61;;;;;;;
261;20239;5.19;;;;;;;
262;202310;4.82;;;;;;;
263;202311;4.68;;;;;;;
264;202312;4.62;;;;;;;
265;20241;4.51;;;;;;;
266;20242;4.50;;;;;;;
267;20243;3.93;;;;;;;
268;20244;3.69;;;;;;;
269;20245;3.93;;;;;;;
270;20246;4.23;;;;;;;
271;20247;4.50;;;;;;;
272;20248;4.24;;;;;;;
